
央视频道,#genre#
德阳2,http://nas.201606.xyz:4022/udp/239.10.0.57:5140
广西都市,http://110.72.81.174:808/hls/204/index.m3u8
广西公共,http://110.72.81.174:808/hls/202/index.m3u8
广西综艺,http://110.72.81.174:808/hls/334/index.m3u8
广元文化,http://nas.201606.xyz:4022/udp/239.10.0.61:5140
广元综合,http://nas.201606.xyz:4022/udp/239.10.0.60:5140
湖北,http://110.72.81.174:808/hls/1010/index.m3u8
湖南,http://110.72.81.174:808/hls/1003/index.m3u8
江苏,http://110.72.81.174:808/hls/1007/index.m3u8
乐山文旅,http://nas.201606.xyz:4022/udp/239.10.0.63:5140
凉山TV1,http://nas.201606.xyz:4022/udp/239.10.0.64:5140
凉山TV3,http://nas.201606.xyz:4022/udp/239.10.0.65:5140
泸州科教,http://nas.201606.xyz:4022/udp/239.10.0.48:5140
眉山公共,http://nas.201606.xyz:4022/udp/239.10.0.67:5140
眉山综合,http://nas.201606.xyz:4022/udp/239.10.0.66:5140
内江科教,http://nas.201606.xyz:4022/udp/239.10.0.73:5140
内江综合,http://nas.201606.xyz:4022/udp/239.10.0.71:5140
攀枝花文旅,http://nas.201606.xyz:4022/udp/239.10.0.75:5140
山东,http://110.72.81.174:808/hls/1011/index.m3u8
深圳,http://110.72.81.174:808/hls/1008/index.m3u8
四川妇女,http://nas.201606.xyz:4022/udp/239.11.0.8:5140
四川公共,http://nas.201606.xyz:4022/udp/239.11.0.4:5140
四川经济,http://nas.201606.xyz:4022/udp/239.11.0.2:5140
四川科教,http://nas.201606.xyz:4022/udp/239.11.0.194:5140
四川文化,http://nas.201606.xyz:4022/udp/239.11.0.3:5140
天津,http://110.72.81.174:808/hls/1009/index.m3u8
雅安公共,http://nas.201606.xyz:4022/udp/239.10.0.79:5140
宜宾公共,http://nas.201606.xyz:4022/udp/239.10.0.81:5140
浙江,http://110.72.81.174:808/hls/1006/index.m3u8
自贡文化,http://nas.201606.xyz:4022/udp/239.10.0.84:5140
自贡综合,http://nas.201606.xyz:4022/udp/239.10.0.83:5140

其他频道,#genre#
阿坝藏语,http://nas.201606.xyz:4022/udp/239.10.0.51:5140
阿坝汉语,http://nas.201606.xyz:4022/udp/239.10.0.50:5140
巴中文旅,http://nas.201606.xyz:4022/udp/239.10.0.53:5140
巴中综合,http://nas.201606.xyz:4022/udp/239.10.0.52:5140
财富天下,http://nas.201606.xyz:4022/udp/239.10.0.182:5140
成铁电视,http://nas.201606.xyz:4022/udp/239.11.0.191:5140
达州公共,http://nas.201606.xyz:4022/udp/239.10.0.55:5140
东方,http://110.72.81.174:808/hls/1004/index.m3u8
东方财经浦东,http://nas.201606.xyz:4022/udp/239.10.0.178:5140
儿歌天地,http://nas.201606.xyz:4022/udp/239.10.0.211:5140
法治天地,http://nas.201606.xyz:4022/udp/239.10.0.180:5140
广安公共,http://nas.201606.xyz:4022/udp/239.10.0.59:5140
广告宣传,http://110.72.81.174:808/hls/10/index.m3u8
国学课堂,http://nas.201606.xyz:4022/udp/239.10.0.212:5140
哈哈炫动,http://nas.201606.xyz:4022/udp/239.11.0.64:5140
红色经典,http://nas.201606.xyz:4022/udp/239.10.0.201:5140
宏伟巨献,http://nas.201606.xyz:4022/udp/239.10.0.208:5140
欢乐启蒙,http://nas.201606.xyz:4022/udp/239.10.0.217:5140
家庭理财,http://nas.201606.xyz:4022/udp/239.10.0.168:5140
金色童年,http://nas.201606.xyz:4022/udp/239.11.0.182:5140
金色学堂,http://nas.201606.xyz:4022/udp/239.10.0.179:5140
精彩,http://nas.201606.xyz:4022/udp/239.11.0.85:5140
聚鲨环球精选,http://nas.201606.xyz:4022/udp/239.10.0.228:5140
快乐假期,http://nas.201606.xyz:4022/udp/239.10.0.215:5140
历史再现,http://nas.201606.xyz:4022/udp/239.10.0.207:5140
咪咕,http://nas.201606.xyz:4022/udp/239.11.0.234:5140
咪咕,http://nas.201606.xyz:4022/udp/239.10.0.238:5140
咪咕,http://nas.201606.xyz:4022/udp/239.10.0.237:5140
咪咕,http://nas.201606.xyz:4022/udp/239.10.0.239:5140
咪咕视频,http://nas.201606.xyz:4022/udp/239.10.0.17:5140
咪咕视频,http://nas.201606.xyz:4022/udp/239.10.0.20:5140
咪咕视频,http://nas.201606.xyz:4022/udp/239.10.0.19:5140
